mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught
219025221,Under way using engine,6.4,169.8,177.0,Tug,8.0,26.0,4.2
266466000,Under way using engine,11.1,210.0,213.0,Tanker,21.0,129.0,7.9
266476000,Under way using engine,11.4,334.0,339.0,Tanker,17.0,119.0,6.2
209488000,Under way using engine,12.4,166.7,168.0,Cargo,13.0,89.0,3.8
248562000,Under way using engine,16.5,178.9,181.0,Cargo,25.0,193.0,5.6
566579000,Under way using engine,13.3,136.2,137.0,Tanker,28.0,184.0,7.6
219592000,Under way using engine,16.9,165.3,167.0,Passenger,26.0,169.0,6.3
566579000,Under way using engine,13.4,138.3,140.0,Tanker,28.0,184.0,7.6
219592000,Under way using engine,17.3,138.7,139.0,Passenger,26.0,169.0,6.3
266273000,Under way using engine,8.8,210.7,214.0,Tanker,24.0,156.0,9.0
257048880,Under way using engine,8.1,340.6,356.0,Cargo,13.0,111.0,5.7
248562000,Under way using engine,16.7,179.9,181.0,Cargo,25.0,193.0,5.6
266466000,Under way using engine,11.3,212.0,215.0,Tanker,21.0,129.0,7.9
209488000,Under way using engine,11.6,168.5,168.0,Cargo,13.0,89.0,3.8
219592000,Under way using engine,16.8,140.2,139.0,Passenger,26.0,169.0,6.3
219592000,Under way using engine,16.8,139.9,139.0,Passenger,26.0,169.0,6.3
566579000,Under way using engine,13.1,161.7,165.0,Tanker,28.0,184.0,7.6
266476000,Under way using engine,10.9,339.0,339.0,Tanker,17.0,119.0,6.2
266273000,Under way using engine,8.7,215.7,219.0,Tanker,24.0,156.0,9.0
266476000,Under way using engine,10.5,319.0,321.0,Tanker,17.0,119.0,6.2
305662000,Under way using engine,7.9,340.3,340.0,Cargo,14.0,90.0,6.1
248562000,Under way using engine,17.0,178.9,181.0,Cargo,25.0,193.0,5.6
219592000,Under way using engine,17.0,139.5,138.0,Passenger,26.0,169.0,6.3
566579000,Under way using engine,13.0,161.7,164.0,Tanker,28.0,184.0,7.6
266466000,Under way using engine,11.5,215.0,215.0,Tanker,21.0,129.0,7.9
209488000,Under way using engine,12.2,171.7,170.0,Cargo,13.0,89.0,3.8
219592000,Under way using engine,16.5,140.4,139.0,Passenger,26.0,169.0,6.3
566579000,Under way using engine,12.8,162.0,164.0,Tanker,28.0,184.0,7.6
266466000,Under way using engine,11.7,215.0,214.0,Tanker,21.0,129.0,7.9
257048880,Under way using engine,8.0,355.3,356.0,Cargo,13.0,111.0,5.7
248562000,Under way using engine,17.2,181.6,183.0,Cargo,25.0,193.0,5.6
266273000,Under way using engine,7.6,222.7,219.0,Tanker,24.0,156.0,9.0
266476000,Under way using engine,10.8,314.0,316.0,Tanker,17.0,119.0,6.2
219592000,Under way using engine,16.5,148.9,149.0,Passenger,26.0,169.0,6.3
305662000,Under way using engine,8.1,337.7,339.0,Cargo,14.0,90.0,6.1
209488000,Under way using engine,12.1,171.9,170.0,Cargo,13.0,89.0,3.8
248562000,Under way using engine,17.0,207.9,210.0,Cargo,25.0,193.0,5.6
266273000,Under way using engine,9.2,218.7,220.0,Tanker,24.0,156.0,9.0
266476000,Under way using engine,11.1,315.0,315.0,Tanker,17.0,119.0,6.2
219592000,Under way using engine,16.4,160.7,161.0,Passenger,26.0,169.0,6.3
305662000,Under way using engine,8.0,340.0,340.0,Cargo,14.0,90.0,6.1
248562000,Under way using engine,16.3,215.3,215.0,Cargo,25.0,193.0,5.6
566579000,Under way using engine,13.0,161.1,164.0,Tanker,28.0,184.0,7.6
209488000,Under way using engine,12.2,143.0,141.0,Cargo,13.0,89.0,3.8
266476000,Under way using engine,11.5,345.0,345.0,Tanker,17.0,119.0,6.2
266466000,Under way using engine,11.6,210.0,208.0,Tanker,21.0,129.0,7.9
248562000,Under way using engine,16.5,227.2,229.0,Cargo,25.0,193.0,5.6
266466000,Under way using engine,11.5,210.0,208.0,Tanker,21.0,129.0,7.9
219592000,Under way using engine,16.2,160.3,159.0,Passenger,26.0,169.0,6.3
355194000,Under way using engine,18.4,327.4,327.0,Cargo,32.0,237.0,9.7
209488000,Under way using engine,12.0,144.4,141.0,Cargo,13.0,89.0,3.8
566579000,Under way using engine,13.0,164.4,167.0,Tanker,28.0,184.0,7.6
257048880,Under way using engine,8.6,6.6,9.0,Cargo,13.0,111.0,5.7
355194000,Under way using engine,18.3,327.1,325.0,Cargo,32.0,237.0,9.7
355194000,Under way using engine,18.3,327.0,325.0,Cargo,32.0,237.0,9.7
219592000,Under way using engine,15.8,158.0,157.0,Passenger,26.0,169.0,6.3
248562000,Under way using engine,16.6,221.0,221.0,Cargo,25.0,193.0,5.6
266273000,Under way using engine,9.2,218.6,218.0,Tanker,24.0,156.0,9.0
266476000,Under way using engine,11.6,345.0,350.0,Tanker,17.0,119.0,6.2
266273000,Under way using engine,9.3,218.2,217.0,Tanker,24.0,156.0,9.0
248562000,Under way using engine,16.9,218.0,218.0,Cargo,25.0,193.0,5.6
566579000,Under way using engine,12.7,165.8,167.0,Tanker,28.0,184.0,7.6
209488000,Under way using engine,12.0,142.7,139.0,Cargo,13.0,89.0,3.8
355194000,Under way using engine,18.9,336.5,335.0,Cargo,32.0,237.0,9.7
266466000,Under way using engine,11.1,208.0,206.0,Tanker,21.0,129.0,7.9
209488000,Under way using engine,12.2,142.5,139.0,Cargo,13.0,89.0,3.8
219592000,Under way using engine,16.1,167.6,168.0,Passenger,26.0,169.0,6.3
266466000,Under way using engine,11.1,208.0,207.0,Tanker,21.0,129.0,7.9
305662000,Under way using engine,8.0,339.5,340.0,Cargo,14.0,90.0,6.1
305662000,Under way using engine,8.0,339.1,339.0,Cargo,14.0,90.0,6.1
248562000,Under way using engine,17.2,195.0,197.0,Cargo,25.0,193.0,5.6
266476000,Under way using engine,11.0,346.0,350.0,Tanker,17.0,119.0,6.2
566579000,Under way using engine,12.2,164.5,167.0,Tanker,28.0,184.0,7.6
355194000,Under way using engine,18.6,355.2,356.0,Cargo,32.0,237.0,9.7
257048880,Under way using engine,8.1,2.0,0.0,Cargo,13.0,111.0,5.7
219592000,Under way using engine,15.8,164.8,164.0,Passenger,26.0,169.0,6.3
209488000,Under way using engine,12.3,136.6,130.0,Cargo,13.0,89.0,3.8
266273000,Under way using engine,7.4,188.7,173.0,Tanker,24.0,156.0,9.0
248562000,Under way using engine,16.9,183.2,188.0,Cargo,25.0,193.0,5.6
266476000,Under way using engine,10.9,344.0,349.0,Tanker,17.0,119.0,6.2
266466000,Under way using engine,11.4,225.0,222.0,Tanker,21.0,129.0,7.9
209488000,Under way using engine,12.6,141.5,135.0,Cargo,13.0,89.0,3.8
566579000,Under way using engine,12.6,165.2,167.0,Tanker,28.0,184.0,7.6
355194000,Under way using engine,18.7,11.4,11.0,Cargo,32.0,237.0,9.7
266273000,Under way using engine,11.6,119.9,119.0,Tanker,24.0,156.0,9.0
266466000,Under way using engine,11.6,227.0,222.0,Tanker,21.0,129.0,7.9
566579000,Under way using engine,12.6,165.5,167.0,Tanker,28.0,184.0,7.6
219592000,Under way using engine,15.4,163.0,163.0,Passenger,26.0,169.0,6.3
305662000,Under way using engine,8.5,321.9,326.0,Cargo,14.0,90.0,6.1
248562000,Under way using engine,17.4,157.6,159.0,Cargo,25.0,193.0,5.6
209488000,Under way using engine,12.2,136.1,132.0,Cargo,13.0,89.0,3.8
248562000,Under way using engine,17.4,158.3,160.0,Cargo,25.0,193.0,5.6
355194000,Under way using engine,18.6,34.0,34.0,Cargo,32.0,237.0,9.7
355194000,Under way using engine,18.6,36.0,36.0,Cargo,32.0,237.0,9.7
305662000,Under way using engine,8.4,320.2,328.0,Cargo,14.0,90.0,6.1
266466000,Under way using engine,11.9,224.0,224.0,Tanker,21.0,129.0,7.9
266273000,Under way using engine,11.2,119.5,118.0,Tanker,24.0,156.0,9.0
257048880,Under way using engine,8.2,343.1,344.0,Cargo,13.0,111.0,5.7
219592000,Under way using engine,16.0,163.5,163.0,Passenger,26.0,169.0,6.3
219592000,Under way using engine,15.9,164.0,164.0,Passenger,26.0,169.0,6.3
209488000,Under way using engine,12.5,137.6,137.0,Cargo,13.0,89.0,3.8
355194000,Under way using engine,19.7,44.7,42.0,Cargo,32.0,237.0,9.7
248562000,Under way using engine,17.8,142.7,145.0,Cargo,25.0,193.0,5.6
209488000,Under way using engine,12.5,134.8,134.0,Cargo,13.0,89.0,3.8
566579000,Under way using engine,12.6,164.4,165.0,Tanker,28.0,184.0,7.6
248562000,Under way using engine,18.0,143.0,145.0,Cargo,25.0,193.0,5.6
266466000,Under way using engine,12.5,202.0,202.0,Tanker,21.0,129.0,7.9
355194000,Under way using engine,18.9,26.3,25.0,Cargo,32.0,237.0,9.7
266476000,Under way using engine,11.6,346.0,349.0,Tanker,17.0,119.0,6.2
266273000,Under way using engine,4.9,114.3,112.0,Tanker,24.0,156.0,9.0
355194000,Under way using engine,18.8,38.1,35.0,Cargo,32.0,237.0,9.7
266466000,Under way using engine,11.7,216.0,218.0,Tanker,21.0,129.0,7.9
209488000,Under way using engine,12.9,130.3,128.0,Cargo,13.0,89.0,3.8
219592000,Under way using engine,15.9,163.5,163.0,Passenger,26.0,169.0,6.3
305662000,Under way using engine,8.4,324.4,328.0,Cargo,14.0,90.0,6.1
566579000,Under way using engine,12.6,164.2,165.0,Tanker,28.0,184.0,7.6
355194000,Under way using engine,18.9,21.7,21.0,Cargo,32.0,237.0,9.7
305662000,Under way using engine,8.4,324.9,328.0,Cargo,14.0,90.0,6.1
566579000,Under way using engine,12.8,164.9,165.0,Tanker,28.0,184.0,7.0
266476000,Under way using engine,11.5,346.0,349.0,Tanker,17.0,119.0,6.2
219592000,Under way using engine,15.8,163.6,163.0,Passenger,26.0,169.0,6.3
257048880,Under way using engine,8.1,343.8,345.0,Cargo,13.0,111.0,5.7
266466000,Under way using engine,11.4,214.0,217.0,Tanker,21.0,129.0,7.9
209488000,Under way using engine,12.4,176.7,180.0,Cargo,13.0,89.0,3.8
355194000,Under way using engine,19.5,33.4,34.0,Cargo,32.0,237.0,9.7
266476000,Under way using engine,11.7,346.0,349.0,Tanker,17.0,119.0,6.2
257048880,Under way using engine,8.3,315.3,322.0,Cargo,13.0,111.0,5.7
219592000,Under way using engine,16.0,163.4,162.0,Passenger,26.0,169.0,6.3
266466000,Under way using engine,12.1,224.0,222.0,Tanker,21.0,129.0,7.9
355194000,Under way using engine,19.5,46.4,48.0,Cargo,32.0,237.0,9.7
355194000,Under way using engine,19.3,46.7,48.0,Cargo,32.0,237.0,9.7
305662000,Under way using engine,8.9,324.9,325.0,Cargo,14.0,90.0,6.1
