mmsi,navigationalstatus,sog,cog,heading,shiptype,width,length,draught,cog_sin,cog_cos,heading_sin,heading_cos,heading_cog_diff,prediction,is_anomaly,anomaly_score
266273000,Under way using engine,4.9,114.3,112.0,Tanker,24.0,156.0,9.0,0.9114032766354453,-0.41151435860510877,0.9271838545667874,-0.37460659341591207,2.299999999999997,-1,True,0.004344883949947698
266465000,Under way using engine,6.8,98.9,106.0,Tanker,19.0,120.0,7.8,0.9879598657693891,-0.15471038629946815,0.9612616959383189,-0.27563735581699905,7.099999999999994,-1,True,0.04283877115946855
266465000,At anchor,0.1,303.1,196.0,Tanker,19.0,120.0,7.8,-0.8377187166204386,0.5461019610144293,-0.275637355816999,-0.9612616959383189,107.10000000000002,-1,True,0.13612654135969915
636018579,Under way using engine,5.1,109.6,105.0,Tanker,44.0,250.0,8.5,0.9420574527872967,-0.335451569750255,0.9659258262890683,-0.25881904510252085,4.599999999999994,-1,True,0.026545024266490747
266465000,Under way using engine,3.1,47.5,53.0,Tanker,19.0,120.0,7.8,0.7372773368101241,0.6755902076156602,0.7986355100472928,0.6018150231520484,5.5,-1,True,0.019384772011661666
266465000,Under way using engine,2.1,58.8,59.0,Tanker,19.0,120.0,7.8,0.8553642601605066,0.5180270093731303,0.8571673007021123,0.5150380749100542,0.20000000000000284,-1,True,0.007990387933860754
538006204,Under way using engine,9.7,113.3,103.0,Tanker,44.0,249.0,12.4,0.9184463813430872,-0.3955455025629649,0.9743700647852352,-0.22495105434386503,10.299999999999997,-1,True,0.029456186005209606
229880000,At anchor,0.2,9.0,273.0,Tanker,28.0,183.0,7.3,0.15643446504023087,0.9876883405951378,-0.9986295347545738,0.052335956242943946,96.0,-1,True,0.14296133452357074
265012140,Under way using engine,4.0,49.3,65.0,Tanker,19.0,100.0,5.7,0.7581343361976522,0.6520984038303922,0.9063077870366499,0.42261826174069944,15.700000000000003,-1,True,0.07018498109565785
265012140,Under way using engine,0.8,68.5,351.0,Tanker,19.0,100.0,5.7,0.9304175679820246,0.3665012267242973,-0.1564344650402311,0.9876883405951377,77.5,-1,True,0.130537810118577
219775000,Under way using engine,6.1,98.2,109.0,Tanker,22.0,147.0,7.1,0.989776230907789,-0.14262893370551158,0.9455185755993168,-0.32556815445715664,10.799999999999997,-1,True,0.060239764210839986
229880000,At anchor,0.1,230.5,218.0,Tanker,28.0,183.0,7.3,-0.77162458338772,-0.6360782202777638,-0.6156614753256582,-0.788010753606722,12.5,-1,True,0.058436275103058266
215909000,Under way using engine,3.8,17.0,32.0,Tanker,16.0,100.0,6.0,0.29237170472273677,0.9563047559630354,0.5299192642332049,0.848048096156426,15.0,-1,True,0.046841705976100156
215909000,Under way using engine,3.8,1.0,9.0,Tanker,16.0,100.0,6.0,0.01745240643728351,0.9998476951563913,0.15643446504023087,0.9876883405951378,8.0,-1,True,0.002363182975236522
215909000,Under way using engine,2.9,319.0,300.0,Tanker,16.0,100.0,6.0,-0.6560590289905074,0.7547095802227719,-0.8660254037844386,0.5000000000000001,19.0,-1,True,0.06912046269721239
215909000,Under way using engine,9.7,79.0,84.0,Tanker,16.0,100.0,4.7,0.981627183447664,0.19080899537654492,0.9945218953682733,0.10452846326765346,5.0,-1,True,0.004045700394557317
215909000,Under way using engine,10.9,79.0,73.0,Tanker,16.0,100.0,4.7,0.981627183447664,0.19080899537654492,0.9563047559630354,0.29237170472273677,6.0,-1,True,0.003108623985284331
215909000,Under way using engine,9.5,92.0,80.0,Tanker,16.0,100.0,4.7,0.9993908270190958,-0.034899496702500955,0.984807753012208,0.17364817766693041,12.0,-1,True,0.05164347820149395
215909000,Under way using engine,9.0,64.0,54.0,Tanker,16.0,100.0,4.7,0.898794046299167,0.43837114678907746,0.8090169943749475,0.5877852522924731,10.0,-1,True,0.012544074384985948
538006204,At anchor,0.1,225.0,1.0,Tanker,44.0,249.0,8.0,-0.7071067811865475,-0.7071067811865477,0.01745240643728351,0.9998476951563913,136.0,-1,True,0.12514006022413338
266465000,Under way using engine,7.8,327.1,353.0,Tanker,19.0,120.0,5.9,-0.5431744499506707,0.8396198645344132,-0.12186934340514723,0.9925461516413221,25.899999999999977,-1,True,0.019879731328090955
538006204,At anchor,0.0,54.0,212.0,Tanker,44.0,249.0,8.0,0.8090169943749475,0.5877852522924731,-0.5299192642332048,-0.8480480961564261,158.0,-1,True,0.13993700171945722
538006204,At anchor,0.1,247.2,236.0,Tanker,44.0,249.0,8.0,-0.9218631515885004,-0.3875155864521032,-0.8290375725550418,-0.5591929034707466,11.199999999999989,-1,True,0.0727187053534114
265012140,Under way using engine,5.1,317.8,307.0,Tanker,19.0,100.0,4.5,-0.67172058932299,0.7408045962867502,-0.798635510047293,0.6018150231520479,10.800000000000011,-1,True,0.022505604665347567
265012140,Under way using engine,5.3,315.1,307.0,Tanker,19.0,100.0,4.5,-0.7058715706786806,0.7083398377245292,-0.798635510047293,0.6018150231520479,8.100000000000023,-1,True,0.012180840947672356
265012140,Under way using engine,4.3,17.4,6.0,Tanker,19.0,100.0,4.5,0.29904079225608665,0.9542403285162769,0.10452846326765347,0.9945218953682733,11.399999999999999,-1,True,0.020546525508671643
265012140,Under way using engine,7.7,35.3,8.0,Tanker,19.0,100.0,4.5,0.5778576243835053,0.8161375900801603,0.13917310096006544,0.9902680687415704,27.299999999999997,-1,True,0.04342025816846473
538006204,At anchor,0.0,18.1,161.0,Tanker,44.0,249.0,8.0,0.31067642963073183,0.9505157316277837,0.3255681544571566,-0.9455185755993168,142.9,-1,True,0.12200687637944696
219355000,Moored,0.1,218.0,112.0,Tanker,14.0,93.0,5.4,-0.6156614753256582,-0.788010753606722,0.9271838545667874,-0.37460659341591207,106.0,-1,True,0.11781556445063868
265012140,Under way using engine,7.0,225.1,213.0,Tanker,19.0,100.0,5.0,-0.7083398377245287,-0.7058715706786811,-0.5446390350150271,-0.838670567945424,12.099999999999994,-1,True,0.006481922456276212
266466000,Under way using engine,5.1,283.0,292.0,Tanker,21.0,129.0,6.6,-0.9743700647852352,0.22495105434386492,-0.9271838545667874,0.37460659341591196,9.0,-1,True,0.049963615296609976
266466000,Under way using engine,4.2,32.0,59.0,Tanker,21.0,129.0,6.6,0.5299192642332049,0.848048096156426,0.8571673007021123,0.5150380749100542,27.0,-1,True,0.07856766382062075
266466000,Under way using engine,3.7,62.0,88.0,Tanker,21.0,129.0,6.6,0.8829475928589269,0.46947156278589086,0.9993908270190958,0.03489949670250108,26.0,-1,True,0.0994633134068138
538006204,At anchor,0.1,124.3,223.0,Tanker,44.0,249.0,8.0,0.8260982944957639,-0.5635260489375714,-0.6819983600624984,-0.7313537016191706,98.7,-1,True,0.12225208419924694
538006204,Under way using engine,7.2,270.9,269.0,Tanker,44.0,249.0,8.0,-0.9998766324816606,0.0157073173118204,-0.9998476951563913,-0.017452406437283498,1.8999999999999773,-1,True,0.006064549115070039
266465000,Under way using engine,3.2,250.2,267.0,Tanker,19.0,120.0,7.4,-0.9408807689542255,-0.33873792024529137,-0.9986295347545738,-0.052335956242944306,16.80000000000001,-1,True,0.08880616291863175
266476000,Under way using engine,5.2,43.0,50.0,Tanker,17.0,119.0,7.1,0.6819983600624985,0.7313537016191705,0.766044443118978,0.6427876096865394,7.0,-1,True,0.0028736577746997227
266476000,Under way using engine,1.7,66.0,24.0,Tanker,17.0,119.0,7.1,0.9135454576426009,0.4067366430758002,0.4067366430758002,0.9135454576426009,42.0,-1,True,0.10362677340954851
266476000,Under way using engine,5.2,241.0,252.0,Tanker,17.0,119.0,5.2,-0.8746197071393959,-0.48480962024633684,-0.9510565162951535,-0.30901699437494756,11.0,-1,True,0.06332054372067775
266476000,Under way using engine,3.9,323.0,313.0,Tanker,17.0,119.0,5.2,-0.6018150231520483,0.7986355100472928,-0.7313537016191703,0.6819983600624986,10.0,-1,True,0.021031073224124786
266454000,Under way using engine,4.5,352.2,335.0,Tanker,17.0,123.0,7.0,-0.13571557243430504,0.9907478404714435,-0.4226182617406992,0.90630778703665,17.19999999999999,-1,True,0.024511310636731065
220609000,Under way using engine,8.0,257.0,263.0,Tanker,15.0,91.0,6.5,-0.9743700647852351,-0.22495105434386525,-0.9925461516413221,-0.12186934340514717,6.0,-1,True,0.012602412342896274
219011922,Under way using engine,8.3,299.7,312.0,Tanker,13.0,83.0,4.2,-0.8686315144381915,0.4954586684324071,-0.7431448254773946,0.6691306063588578,12.300000000000011,-1,True,0.024232780153471523
265610040,At anchor,0.0,120.0,239.0,Tanker,13.0,80.0,6.1,0.8660254037844387,-0.4999999999999998,-0.8571673007021121,-0.5150380749100544,119.0,-1,True,0.1376949237062015
219775000,Under way using engine,12.0,232.2,247.0,Tanker,22.0,147.0,8.4,-0.7901550123756904,-0.6129070536529765,-0.9205048534524403,-0.3907311284892738,14.800000000000011,-1,True,0.03074465029942053
219355000,Under way using engine,4.7,355.0,341.0,Tanker,14.0,93.0,5.2,-0.08715574274765832,0.9961946980917455,-0.3255681544571567,0.9455185755993168,14.0,-1,True,0.0181651783411656
219011922,Moored,0.0,273.1,298.0,Tanker,13.0,83.0,4.2,-0.9985366703262117,0.05407881298477529,-0.8829475928589271,0.4694715627858904,24.899999999999977,-1,True,0.10242131242541175
219355000,Under way using engine,1.5,223.0,300.0,Tanker,14.0,93.0,5.2,-0.6819983600624984,-0.7313537016191706,-0.8660254037844386,0.5000000000000001,77.0,-1,True,0.12421950104879498
219355000,Under way using engine,4.7,11.0,0.0,Tanker,14.0,93.0,5.2,0.1908089953765448,0.981627183447664,0.0,1.0,11.0,-1,True,0.009875936573521371
215211000,Under way using engine,10.9,301.9,316.0,Tanker,17.0,104.0,6.1,-0.8489716876291415,0.5284383347223469,-0.6946583704589976,0.7193398003386509,14.100000000000023,-1,True,0.013786918840103302
219355000,Under way using engine,2.8,1.0,351.0,Tanker,14.0,93.0,5.2,0.01745240643728351,0.9998476951563913,-0.1564344650402311,0.9876883405951377,10.0,-1,True,0.02044138555533126
219011922,Under way using engine,11.1,91.1,96.0,Tanker,13.0,83.0,5.5,0.9998157121216442,-0.01919744239968952,0.9945218953682733,-0.10452846326765355,4.900000000000006,-1,True,0.0016491904239808175
219355000,Under way using engine,7.2,291.0,305.0,Tanker,14.0,93.0,5.2,-0.9335804264972017,0.3583679495453004,-0.8191520442889918,0.573576436351046,14.0,-1,True,0.046505695494733934
219355000,Under way using engine,6.3,285.0,303.0,Tanker,14.0,93.0,5.2,-0.9659258262890684,0.2588190451025203,-0.8386705679454243,0.5446390350150266,18.0,-1,True,0.06274044692132308
219355000,Under way using engine,6.2,284.0,302.0,Tanker,14.0,93.0,5.2,-0.9702957262759966,0.24192189559966742,-0.8480480961564261,0.5299192642332047,18.0,-1,True,0.06278737638804577
219355000,Under way using engine,6.9,287.0,301.0,Tanker,14.0,93.0,5.2,-0.9563047559630354,0.2923717047227367,-0.8571673007021123,0.5150380749100542,14.0,-1,True,0.053301888944005116
219355000,Under way using engine,7.0,291.0,301.0,Tanker,14.0,93.0,5.2,-0.9335804264972017,0.3583679495453004,-0.8571673007021123,0.5150380749100542,10.0,-1,True,0.02555526635347971
215760000,Under way using engine,6.7,289.2,294.0,Tanker,21.0,129.0,6.2,-0.9443763702374812,0.3288666467385827,-0.9135454576426011,0.40673664307579976,4.800000000000011,-1,True,0.0006792414180502027
215211000,Moored,0.0,274.1,36.0,Tanker,17.0,104.0,6.1,-0.997440782930944,0.07149744433268661,0.5877852522924731,0.8090169943749475,121.89999999999998,-1,True,0.13238237531120278
266465000,Under way using engine,4.9,39.9,48.0,Tanker,19.0,120.0,7.6,0.6414496315691578,0.7671651518152997,0.7431448254773942,0.6691306063588582,8.100000000000001,-1,True,0.012270985835826642
266465000,Under way using engine,0.7,92.8,128.0,Tanker,19.0,120.0,7.6,0.9988061373414341,-0.04884976979561327,0.788010753606722,-0.6156614753256583,35.2,-1,True,0.10303963340378786
215211000,Moored,3.1,54.5,51.0,Tanker,17.0,104.0,5.0,0.8141155183563192,0.5807029557109398,0.7771459614569709,0.6293203910498375,3.5,-1,True,0.0044566108582200226
538008784,Under way using engine,14.7,244.0,239.0,Tanker,50.0,274.0,9.4,-0.8987940462991668,-0.43837114678907774,-0.8571673007021121,-0.5150380749100544,5.0,-1,True,0.0002496916700590601
266466000,At anchor,0.1,207.0,297.0,Tanker,21.0,129.0,5.7,-0.45399049973954664,-0.8910065241883679,-0.891006524188368,0.45399049973954664,90.0,-1,True,0.13137405405849023
219011922,At anchor,0.0,112.4,255.0,Tanker,13.0,83.0,4.2,0.9245460336123131,-0.38107037635027413,-0.9659258262890683,-0.25881904510252063,142.6,-1,True,0.15130788063444234
219011922,At anchor,0.3,283.8,276.0,Tanker,13.0,83.0,4.2,-0.9711342799096361,0.2385334575785808,-0.9945218953682734,0.10452846326765299,7.800000000000011,-1,True,0.07029901175411857
